worker 1005: 25/280 games, 1532 positions
worker 1005: 50/280 games, 3036 positions
worker 1005: 75/280 games, 4254 positions
worker 1005: 100/280 games, 5597 positions
worker 1005: 125/280 games, 6812 positions
worker 1005: 150/280 games, 8249 positions
worker 1005: 175/280 games, 9612 positions
worker 1005: 200/280 games, 11080 positions
worker 1005: 225/280 games, 12398 positions
worker 1005: 250/280 games, 13623 positions
worker 1005: 275/280 games, 15009 positions
worker 1005 done: 15324 positions
