worker 1001: 25/280 games, 1062 positions
worker 1001: 50/280 games, 2254 positions
worker 1001: 75/280 games, 3410 positions
worker 1001: 100/280 games, 4773 positions
worker 1001: 125/280 games, 5980 positions
worker 1001: 150/280 games, 7444 positions
worker 1001: 175/280 games, 8852 positions
worker 1001: 200/280 games, 9963 positions
worker 1001: 225/280 games, 11206 positions
worker 1001: 250/280 games, 12352 positions
worker 1001: 275/280 games, 13507 positions
worker 1001 done: 13753 positions
