worker 1003: 25/280 games, 1383 positions
worker 1003: 50/280 games, 2646 positions
worker 1003: 75/280 games, 3834 positions
worker 1003: 100/280 games, 5082 positions
worker 1003: 125/280 games, 6420 positions
worker 1003: 150/280 games, 7734 positions
worker 1003: 175/280 games, 9236 positions
worker 1003: 200/280 games, 10431 positions
worker 1003: 225/280 games, 11655 positions
worker 1003: 250/280 games, 12985 positions
worker 1003: 275/280 games, 14233 positions
worker 1003 done: 14439 positions
