worker 1002: 25/280 games, 1405 positions
worker 1002: 50/280 games, 2568 positions
worker 1002: 75/280 games, 3688 positions
worker 1002: 100/280 games, 4882 positions
worker 1002: 125/280 games, 6064 positions
worker 1002: 150/280 games, 7288 positions
worker 1002: 175/280 games, 8478 positions
worker 1002: 200/280 games, 9568 positions
worker 1002: 225/280 games, 10898 positions
worker 1002: 250/280 games, 12295 positions
worker 1002: 275/280 games, 13595 positions
worker 1002 done: 13850 positions
