worker 1006: 25/280 games, 1340 positions
worker 1006: 50/280 games, 2427 positions
worker 1006: 75/280 games, 3640 positions
worker 1006: 100/280 games, 4825 positions
worker 1006: 125/280 games, 6329 positions
worker 1006: 150/280 games, 7776 positions
worker 1006: 175/280 games, 9246 positions
worker 1006: 200/280 games, 10487 positions
worker 1006: 225/280 games, 11599 positions
worker 1006: 250/280 games, 12958 positions
worker 1006: 275/280 games, 14307 positions
worker 1006 done: 14487 positions
